    10.40.16.97,Open
    10.40.16.81,Open
    10.40.16.98,Open
    10.40.16.116,Open
    10.40.16.117,Open
    10.11.139.139,Closed
    10.29.181.66,Open
    10.22.240.66,Open
    10.23.160.66,Open
    10.23.224.66,Open
    10.23.176.66,Open
    10.23.112.66,Open
    10.23.144.66,Open
    10.23.192.66,Open
    10.23.0.66,Open
    10.22.208.66,Open
    10.22.224.66,Open
    10.23.240.66,Open
    10.23.48.66,Open
    10.16.192.67,Open
    10.21.80.66,Open
    10.21.80.66,Open
    10.21.48.87,Open
    10.40.16.69,Open
    10.138.0.61,Closed
    10.138.0.62,Closed
    10.138.0.63,Closed
    10.138.0.213,Closed
    10.142.48.82,Closed
    10.142.48.83,Closed
    10.142.48.84,Closed
    10.145.64.71,Closed
    10.187.228.106,Closed
    10.64.64.77,Closed
    10.64.64.80,Closed
    10.64.208.2,Closed
    10.64.208.3,Closed
    10.64.232.2,Closed
    10.113.240.117,Closed
    10.113.240.105,Closed
    10.113.240.102,Closed
    10.113.240.101,Closed
    10.69.192.92,Closed
    10.69.192.117,Closed
    10.69.192.123,Closed
    10.138.1.204,Closed
    10.138.1.205,Closed
    10.138.1.91,Closed
    10.138.1.112,Closed
    10.138.1.157,Closed
    10.143.160.79,Closed
    10.143.160.81,Closed
    10.143.160.84,Closed
    10.143.160.102,Closed
    10.143.160.103,Closed
    10.146.128.108,Closed
    10.142.48.113,Closed
    10.143.32.120,Closed
    10.145.64.73,Closed
    10.160.176.115,Closed
    10.160.160.113,Closed
    10.160.160.118,Closed
    10.160.160.119,Closed
    10.160.160.120,Closed
    10.160.240.112,Closed
    10.138.1.150,Closed
    10.138.0.81,Closed
    10.138.0.47,Closed
    192.168.1.47,Closed
    10.138.1.115,Closed
    10.138.1.100,Closed
    10.138.0.113,Closed
    10.138.1.250,Closed
    10.138.1.104,Closed
    10.138.0.16,Closed
    10.143.160.106,Closed
    10.143.160.124,Closed
    10.146.128.107,Closed
    10.146.128.111,Closed
    10.143.48.125,Closed
    10.143.48.117,Closed
    10.142.48.115,Closed
    10.142.48.94,Closed
    10.142.48.106,Closed
    10.143.32.80,Closed
    10.143.32.119,Closed
    10.145.64.126,Closed
    10.145.64.104,Closed
    10.145.64.105,Closed
    10.145.64.105,Closed
    10.148.96.70,Closed
    10.148.96.74,Closed
    10.160.176.111,Closed
    10.160.176.103,Closed
    10.160.160.107,Closed
    10.160.160.110,Closed
    10.160.160.111,Closed
    10.160.160.112,Closed
    10.160.160.98,Closed
    10.160.160.105,Closed
    10.160.240.119,Closed
    10.160.240.104,Closed
    10.143.48.115,Closed
    10.138.0.250,Closed
    10.138.160.154,Closed
    10.138.160.155,Closed
    10.138.1.193,Closed
    10.138.1.194,Closed
    10.138.1.152,Closed
    10.22.16.85,Closed
    10.22.16.91,Closed
    10.22.32.85,Closed
    10.22.32.91,Closed
    10.22.48.85,Closed
    10.22.48.91,Closed
    10.22.64.85,Closed
    10.22.64.91,Closed
    10.69.112.85,Closed
    10.69.112.91,Closed
    10.69.128.85,Closed
    10.69.128.91,Closed
    10.22.80.85,Closed
    10.22.80.91,Closed
    10.21.128.85,Closed
    10.21.128.91,Closed
    10.17.144.85,Closed
    10.17.144.91,Closed
    10.67.181.115,Closed
    10.67.181.91,Closed
    10.22.48.92,Closed
    10.22.64.92,Closed
    10.69.128.92,Closed
    10.21.128.92,Closed
    10.29.183.136,Closed
    10.22.240.85,Closed
    10.23.176.88,Closed
    10.23.144.80,Closed
    10.23.192.69,Closed
    10.22.224.125,Closed
    10.21.80.85,Closed
    10.21.48.69,Closed
    10.40.80.85,Closed
    10.23.160.97,Closed
    10.23.224.90,Closed
    10.23.112.75,Closed
    10.61.52.2,Closed
    10.23.0.120,Closed
    10.23.26.2,Closed
    10.22.208.96,Closed
    10.23.240.95,Closed
    10.23.48.96,Closed
    10.16.192.90,Closed
    192.168.16.24,Closed
    192.168.16.24,Closed
    10.40.16.125,Closed
    10.21.48.99,Closed
    192.168.17.2,Closed
    192.168.122.1,Closed
    10.21.48.100,Closed
    192.168.17.2,Closed
    192.168.122.1,Closed
